"id","id_fixed","treat","placebo","period","post","period_fixed","y"
1,-1.38878193115363,1,0,-3,0,2.63249886704495,1.46290713301348
1,-1.38878193115363,1,0,-2,0,0.46342318664996,-2.00386518994758
1,-1.38878193115363,1,0,-1,0,-1.05231975953515,-2.97004137883064
1,-1.38878193115363,1,0,0,0,1.04057019638464,-2.02206088236608
1,-1.38878193115363,1,0,1,1,-0.424405481533985,-1.97937527257987
1,-1.38878193115363,1,0,2,1,-1.52284831520528,-0.0176876976182911
1,-1.38878193115363,1,0,3,1,0.569623237035571,0.954487815435315
2,-1.49491071752506,0,0,-3,0,2.63249886704495,-0.159294750177192
2,-1.49491071752506,0,0,-2,0,0.46342318664996,-1.54910247911438
2,-1.49491071752506,0,0,-1,0,-1.05231975953515,-4.40399802675653
2,-1.49491071752506,0,0,0,0,1.04057019638464,-4.01193292278175
2,-1.49491071752506,0,0,1,1,-0.424405481533985,-4.73481687178606
2,-1.49491071752506,0,0,2,1,-1.52284831520528,-2.84495908034063
2,-1.49491071752506,0,0,3,1,0.569623237035571,-2.07177509646087
3,0.373416954643076,0,0,-3,0,2.63249886704495,2.75142769878386
3,0.373416954643076,0,0,-2,0,0.46342318664996,1.75854885484191
3,0.373416954643076,0,0,-1,0,-1.05231975953515,1.02285122929673
3,0.373416954643076,0,0,0,0,1.04057019638464,2.41026452496835
3,0.373416954643076,0,0,1,1,-0.424405481533985,0.681852271444252
3,0.373416954643076,0,0,2,1,-1.52284831520528,0.296910891559043
3,0.373416954643076,0,0,3,1,0.569623237035571,2.01760402463191
4,-1.01683064352061,0,0,-3,0,2.63249886704495,0.584625877222921
4,-1.01683064352061,0,0,-2,0,0.46342318664996,-1.35865853443324
4,-1.01683064352061,0,0,-1,0,-1.05231975953515,-4.26593713267729
4,-1.01683064352061,0,0,0,0,1.04057019638464,-1.648014640232
4,-1.01683064352061,0,0,1,1,-0.424405481533985,-2.61112568742149
4,-1.01683064352061,0,0,2,1,-1.52284831520528,-5.67283400988127
4,-1.01683064352061,0,0,3,1,0.569623237035571,-1.72621882202454
5,2.43969468533271,0,0,-3,0,2.63249886704495,6.75386952524224
5,2.43969468533271,0,0,-2,0,0.46342318664996,5.04397599667985
5,2.43969468533271,0,0,-1,0,-1.05231975953515,4.96770173260215
5,2.43969468533271,0,0,0,0,1.04057019638464,6.78917660863002
5,2.43969468533271,0,0,1,1,-0.424405481533985,3.16927671335792
5,2.43969468533271,0,0,2,1,-1.52284831520528,2.11304743253032
5,2.43969468533271,0,0,3,1,0.569623237035571,4.99268333801365
6,0.275417301074691,0,0,-3,0,2.63249886704495,3.52008920239409
6,0.275417301074691,0,0,-2,0,0.46342318664996,0.154888761847819
6,0.275417301074691,0,0,-1,0,-1.05231975953515,0.876750436320329
6,0.275417301074691,0,0,0,0,1.04057019638464,2.61940854075227
6,0.275417301074691,0,0,1,1,-0.424405481533985,-0.354655460374554
6,0.275417301074691,0,0,2,1,-1.52284831520528,0.131425178202939
6,0.275417301074691,0,0,3,1,0.569623237035571,2.90624451797827
7,0.131121552399923,1,0,-3,0,2.63249886704495,3.48980424446835
7,0.131121552399923,1,0,-2,0,0.46342318664996,0.95803360520522
7,0.131121552399923,1,0,-1,0,-1.05231975953515,-1.37347522759583
7,0.131121552399923,1,0,0,0,1.04057019638464,1.32810672549722
7,0.131121552399923,1,0,1,1,-0.424405481533985,4.06585666500465
7,0.131121552399923,1,0,2,1,-1.52284831520528,-0.386768078749291
7,0.131121552399923,1,0,3,1,0.569623237035571,4.89012138166322
8,0.967207981203943,0,0,-3,0,2.63249886704495,3.12831754646989
8,0.967207981203943,0,0,-2,0,0.46342318664996,3.00581127733365
8,0.967207981203943,0,0,-1,0,-1.05231975953515,0.192371688582461
8,0.967207981203943,0,0,0,0,1.04057019638464,2.83482840180429
8,0.967207981203943,0,0,1,1,-0.424405481533985,0.224943264430451
8,0.967207981203943,0,0,2,1,-1.52284831520528,-0.865838281536015
8,0.967207981203943,0,0,3,1,0.569623237035571,4.28676367933772
9,-1.09360193581089,0,0,-3,0,2.63249886704495,1.10772343613019
9,-1.09360193581089,0,0,-2,0,0.46342318664996,-1.52575286714384
9,-1.09360193581089,0,0,-1,0,-1.05231975953515,-2.26222786187114
9,-1.09360193581089,0,0,0,0,1.04057019638464,-1.5084905074084
9,-1.09360193581089,0,0,1,1,-0.424405481533985,-4.67429103727203
9,-1.09360193581089,0,0,2,1,-1.52284831520528,-5.03064214202901
9,-1.09360193581089,0,0,3,1,0.569623237035571,0.0501300353285721
10,-0.0340464467732696,0,0,-3,0,2.63249886704495,2.91282907505208
10,-0.0340464467732696,0,0,-2,0,0.46342318664996,-0.232574784443824
10,-0.0340464467732696,0,0,-1,0,-1.05231975953515,-0.572120894175888
10,-0.0340464467732696,0,0,0,0,1.04057019638464,2.30081438238382
10,-0.0340464467732696,0,0,1,1,-0.424405481533985,0.13036204421704
10,-0.0340464467732696,0,0,2,1,-1.52284831520528,-1.23151736505974
10,-0.0340464467732696,0,0,3,1,0.569623237035571,1.5744556409672
11,-0.432620730187634,1,0,-3,0,2.63249886704495,3.46840428497987
11,-0.432620730187634,1,0,-2,0,0.46342318664996,0.583970023493889
11,-0.432620730187634,1,0,-1,0,-1.05231975953515,-0.705981653952395
11,-0.432620730187634,1,0,0,0,1.04057019638464,-0.0046273500915448
11,-0.432620730187634,1,0,1,1,-0.424405481533985,0.555429508515335
11,-0.432620730187634,1,0,2,1,-1.52284831520528,-0.0411486944268291
11,-0.432620730187634,1,0,3,1,0.569623237035571,0.0880573690255373
12,-1.37578063830795,0,0,-3,0,2.63249886704495,-0.381243181589828
